TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > Power factor (Q1);IOITSecure447 > Power factor (Q2);IOITSecure447 > Power factor (Q3);IOITSecure447 > Avg power factor;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power;IOITSecure447 > R-Ph Voltage THD;IOITSecure447 > Y-Ph Voltage THD;IOITSecure447 > B-Ph Voltage THD;IOITSecure447 > R-Ph Current THD;IOITSecure447 > Y-Ph Current THD;IOITSecure447 > B-Ph Current THD
24/12/2023 00:00:00;239.65;241.53;241.18;240.86;416.43;418.13;417.04;19.92;14.37;17.32;6.20;19.70;14.21;17.39;2.65;-0.90;0.27;0.99;-1.00;1.00;1.00;4.66;3.40;4.14;12.21;0.61;-0.21;0.07;0.46;4.79;3.46;4.21;12.41;3.64;4.35;4.10;82.28;81.60;72.50
24/12/2023 00:00:10;239.48;241.53;241.18;240.86;416.43;418.13;417.04;19.92;14.37;17.32;6.20;19.70;14.21;17.39;2.65;-0.90;0.27;0.99;-1.00;1.00;1.00;4.66;3.40;4.14;12.21;0.63;-0.22;0.08;0.49;4.79;3.46;4.22;12.42;3.60;4.31;4.10;84.99;81.83;72.86
24/12/2023 00:00:20;239.48;241.63;241.32;240.89;416.45;418.30;417.04;20.05;14.28;17.39;6.28;19.87;14.32;17.44;2.52;-0.87;0.31;0.99;-1.00;1.00;1.00;4.68;3.41;4.15;12.23;0.63;-0.22;0.07;0.49;4.79;3.46;4.22;12.42;3.60;4.31;4.10;84.99;81.83;72.86
24/12/2023 00:00:30;239.48;241.63;241.32;240.89;416.45;418.30;417.04;20.05;14.28;17.39;6.28;19.87;14.32;17.44;2.52;-0.87;0.31;0.99;-1.00;1.00;1.00;4.68;3.41;4.15;12.23;0.63;-0.22;0.07;0.48;4.79;3.46;4.22;12.44;3.62;4.36;4.14;86.00;81.32;73.42
24/12/2023 00:00:40;239.83;241.76;241.46;240.99;416.61;418.40;417.27;19.98;14.35;17.41;6.13;19.74;14.33;17.45;2.66;-0.96;0.30;0.99;-1.00;1.00;1.00;4.67;3.39;4.13;12.19;0.63;-0.22;0.07;0.46;4.79;3.46;4.13;12.33;3.62;4.36;4.14;86.00;81.32;73.42
24/12/2023 00:00:50;239.83;241.76;241.46;240.99;416.61;418.40;417.27;19.98;14.35;17.41;6.13;19.74;14.33;17.45;2.66;-0.96;0.30;0.99;-1.00;1.00;1.00;4.67;3.39;4.13;12.19;0.63;-0.22;0.07;0.46;4.79;3.46;4.13;12.33;3.60;4.51;4.12;85.69;82.68;74.07
24/12/2023 00:01:00;239.85;241.67;241.54;241.02;416.65;418.45;417.39;19.91;14.33;17.34;6.22;19.83;14.29;17.33;2.60;-0.89;0.34;0.99;-1.00;1.00;1.00;4.68;3.41;4.13;12.16;0.62;-0.23;0.08;0.48;4.78;3.45;4.18;12.38;3.78;4.39;4.14;82.20;81.76;74.07
24/12/2023 00:01:10;239.81;241.70;241.51;241.02;416.65;418.45;417.39;19.91;14.33;17.34;6.22;19.83;14.29;17.33;2.60;-0.89;0.34;0.99;-1.00;1.00;1.00;4.68;3.41;4.13;12.16;0.62;-0.23;0.08;0.48;4.78;3.45;4.18;12.38;3.78;4.39;4.14;82.20;81.76;73.38
24/12/2023 00:01:20;239.81;241.70;241.51;241.00;416.62;418.45;417.29;19.93;14.29;17.27;6.18;19.80;14.29;17.31;2.54;-0.89;0.34;0.99;-1.00;1.00;1.00;4.68;3.39;4.08;12.15;0.62;-0.21;0.09;0.50;4.78;3.45;4.17;12.37;3.66;4.42;4.18;82.20;81.37;73.31
24/12/2023 00:01:30;239.87;241.81;241.54;241.08;416.70;418.45;417.24;19.93;14.29;17.27;6.18;19.80;14.29;17.31;2.54;-0.89;0.34;0.99;-1.00;1.00;1.00;4.68;3.39;4.08;12.15;0.62;-0.21;0.09;0.50;4.78;3.45;4.17;12.37;3.66;4.42;4.18;82.20;81.37;73.31
